Title,Price,ActualPrice,Discount,Rating,Highlight
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)  (8 GB RAM)","₹29,999","₹33,999",11% off,4.3,8 GB RAM | 256 GB ROM
"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)  (8 GB RAM)","₹29,999","₹33,999",11% off,4.3,8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)  (4 GB RAM)","₹13,999","₹22,999",39% off,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"Infinix HOT 20 Play (Luna Blue, 64 GB)  (4 GB RAM)","₹8,199","₹11,999",31% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"POCO C31 (Shadow Gray, 64 GB)  (4 GB RAM)","₹7,499","₹11,999",37% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"POCO M4 Pro 5G (Cool Blue, 128 GB)  (6 GB RAM)","₹13,999","₹19,999",30% off,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)  (6 GB RAM)","₹14,999","₹23,999",37% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"POCO M4 Pro 5G (Cool Blue, 64 GB)  (4 GB RAM)","₹11,999","₹16,999",29% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)  (8 GB RAM)","₹27,999","₹31,999",12% off,3.9,8 GB RAM | 256 GB ROM
"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)  (12 GB RAM)","₹32,999","₹36,999",10% off,4.5,12 GB RAM | 256 GB ROM
"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)  (12 GB RAM)","₹32,999","₹36,999",10% off,4.5,12 GB RAM | 256 GB ROM
"MOTOROLA G32 (Mineral Gray, 64 GB)  (4 GB RAM)","₹9,999","₹16,999",41% off,4.2,4 GB RAM | 64 GB ROM
"MOTOROLA e40 (Carbon Gray, 64 GB)  (4 GB RAM)","₹7,999","₹10,999",27% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)  (6 GB RAM)","₹14,999","₹23,999",37% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"REDMI 9i Sport (Coral Green, 64 GB)  (4 GB RAM)","₹7,199","₹9,999",28% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"POCO M4 5G (Cool Blue, 64 GB)  (4 GB RAM)","₹11,999","₹15,999",25% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"MOTOROLA e40 (Pink Clay, 64 GB)  (4 GB RAM)","₹7,999","₹10,999",27% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)  (8 GB RAM)","₹27,999","₹31,999",12% off,3.9,8 GB RAM | 256 GB ROM
"REDMI 9i Sport (Metallic Blue, 64 GB)  (4 GB RAM)","₹7,199","₹9,999",28% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"MOTOROLA G62 5G (Midnight Gray, 128 GB)  (6 GB RAM)","₹14,999","₹21,999",31% off,4.1,6 GB RAM | 128 GB ROM
"MOTOROLA G32 (Satin Silver, 64 GB)  (4 GB RAM)","₹9,999","₹16,999",41% off,4.2,4 GB RAM | 64 GB ROM
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)  (8 GB RAM)","₹29,999","₹33,999",11% off,4.3,8 GB RAM | 256 GB ROM
"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)  (6 GB RAM)","₹24,999","₹27,999",10% off,4.4,6 GB RAM | 128 GB ROM
"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)  (8 GB RAM)","₹29,999","₹33,999",11% off,4.3,8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)  (4 GB RAM)","₹13,999","₹22,999",39% off,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"Infinix HOT 20 Play (Luna Blue, 64 GB)  (4 GB RAM)","₹8,199","₹11,999",31% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"POCO C31 (Shadow Gray, 64 GB)  (4 GB RAM)","₹7,499","₹11,999",37% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"POCO M4 Pro 5G (Cool Blue, 128 GB)  (6 GB RAM)","₹13,999","₹19,999",30% off,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)  (6 GB RAM)","₹14,999","₹23,999",37% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
